numba_parallel.py: Size: 50, Steps: 50, T*: 0.500: Order: 0.399, Time: 2.022684 s
         3497319 function calls (3381659 primitive calls) in 13.722 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        2    0.000    0.000    0.164    0.082 __config__.py:1(<module>)
        1    0.000    0.000    0.162    0.162 numba_parallel.py:96(savedat)
        3    0.002    0.001    0.162    0.054 core.py:1(<module>)
    58562    0.095    0.000    0.161    0.000 {method 'get' of 'dict' objects}
 2440/322    0.060    0.000    0.160    0.000 _compiler.py:37(_compile)
        1    0.000    0.000    0.158    0.158 compiler.py:1(<module>)
      671    0.023    0.000    0.158    0.000 targetconfig.py:197(values)
      207    0.002    0.000    0.156    0.001 codegen.py:1249(_function_pass_manager)
      231    0.001    0.000    0.154    0.001 newpassmanagers.py:120(run)
       11    0.000    0.000    0.153    0.014 untyped_passes.py:1744(run_pass)
       23    0.000    0.000    0.153    0.007 codegen.py:1069(wrapper)
  778/770    0.005    0.000    0.153    0.000 <frozen importlib._bootstrap>:806(module_from_spec)
     1056    0.033    0.000    0.152    0.000 inspect.py:2397(_signature_from_function)
       12    0.000    0.000    0.151    0.013 executionengine.py:94(finalize_object)
        1    0.001    0.001    0.149    0.149 _axes.py:67(Axes)
        1    0.000    0.000    0.145    0.145 offsetbox.py:1(<module>)
      318    0.003    0.000    0.145    0.000 npydecl.py:196(generic)
      207    0.001    0.000    0.138    0.001 templates.py:488(apply)
      211    0.002    0.000    0.137    0.001 templates.py:279(_select)
       11    0.003    0.000    0.136    0.012 inline_closurecall.py:90(run)
4194/3822    0.013    0.000    0.135    0.000 contextlib.py:132(__enter__)
      211    0.021    0.000    0.135    0.001 context.py:703(resolve_overload)
      326    0.009    0.000    0.135    0.000 npydecl.py:92(generic)
        1    0.000    0.000    0.134    0.134 art3d.py:1(<module>)
    98730    0.131    0.000    0.131    0.000 {method 'append' of 'list' objects}
2698/2693    0.017    0.000    0.129    0.000 abstract.py:61(__call__)
    95120    0.127    0.000    0.127    0.000 {method 'lstrip' of 'str' objects}
     1189    0.005    0.000    0.126    0.000 module.py:220(__next__)
     7956    0.060    0.000    0.126    0.000 inspect.py:2743(__init__)
        1    0.000    0.000    0.124    0.124 _basic.py:1(<module>)
       11    0.001    0.000    0.124    0.011 lowering.py:30(__init__)
        1    0.000    0.000    0.123    0.123 geo.py:1(<module>)
     3669    0.025    0.000    0.123    0.000 instructions.py:13(__init__)
        1    0.000    0.000    0.122    0.122 colors.py:1(<module>)
      977    0.005    0.000    0.121    0.000 __init__.py:751(__setitem__)
       33    0.000    0.000    0.121    0.004 postproc.py:158(_insert_var_dels)
       33    0.019    0.001    0.121    0.004 postproc.py:179(_patch_var_dels)
       11    0.000    0.000    0.120    0.011 interpreter.py:1443(post_process)
     5195    0.022    0.000    0.117    0.000 values.py:537(__init__)
       11    0.000    0.000    0.117    0.011 lowering.py:355(init)
       11    0.012    0.001    0.117    0.011 lowering.py:371(_find_singly_assigned_variable)
      200    0.002    0.000    0.116    0.001 pyplot.py:175(_copy_docstring_and_deprecators)
    21456    0.056    0.000    0.115    0.000 <frozen abc>:117(__instancecheck__)
       11    0.000    0.000    0.114    0.010 untyped_passes.py:224(run_pass)
     2193    0.048    0.000    0.112    0.000 <frozen abc>:105(__new__)
        2    0.001    0.000    0.111    0.056 builtins.py:1(<module>)
        1    0.000    0.000    0.111    0.111 _arraypad_impl.py:1(<module>)
    16774    0.067    0.000    0.111    0.000 targetconfig.py:111(getter)
        1    0.110    0.110    0.110    0.110 {method 'close' of '_io.TextIOWrapper' objects}
       10    0.000    0.000    0.110    0.011 lowering.py:810(lower_getitem)
        1    0.000    0.000    0.110    0.110 _index_tricks_impl.py:1(<module>)
      231    0.002    0.000    0.109    0.000 codegen.py:1256(_pass_builder)
    73342    0.106    0.000    0.106    0.000 {built-in method builtins.min}
30677/30594    0.061    0.000    0.105    0.000 {method 'join' of 'str' objects}
  855/783    0.003    0.000    0.105    0.000 ir_utils.py:1576(guard)
