LebwohlLasher.py: Size: 100, Steps: 10, T*: 0.500: Order: 0.276, Time: 4.300005 s
         3701604 function calls (3627276 primitive calls) in 51.261 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      697    0.009    0.000    0.030    0.000 <frozen importlib._bootstrap>:304(acquire)
        3    0.000    0.000    0.030    0.010 patches.py:2293(__init_subclass__)
        6    0.001    0.000    0.030    0.005 patches.py:2335(pprint_styles)
        1    0.003    0.003    0.030    0.030 helpers.py:1(<module>)
      265    0.003    0.000    0.029    0.000 overrides.py:144(decorator)
        6    0.017    0.003    0.029    0.005 quiver.py:653(_make_verts)
      388    0.004    0.000    0.029    0.000 transforms.py:805(from_extents)
       16    0.004    0.000    0.029    0.002 backend_qt.py:738(_icon)
       50    0.004    0.000    0.029    0.001 typing.py:753(Literal)
     4976    0.017    0.000    0.029    0.000 {built-in method builtins.delattr}
      512    0.013    0.000    0.029    0.000 cbook.py:1752(normalize_kwargs)
       16    0.000    0.000    0.029    0.002 axis.py:946(set_tick_params)
       46    0.000    0.000    0.029    0.001 core.py:3532(mayReturnEmpty)
    48/27    0.000    0.000    0.028    0.001 functools.py:982(__get__)
      166    0.001    0.000    0.028    0.000 patches.py:934(get_bbox)
    42/21    0.000    0.000    0.028    0.001 core.py:3500(re)
      792    0.008    0.000    0.028    0.000 transforms.py:2499(composite_transform_factory)
    16849    0.028    0.000    0.028    0.000 {method 'get' of 'mappingproxy' objects}
       52    0.000    0.000    0.028    0.001 inspect.py:1279(getsource)
     1880    0.012    0.000    0.028    0.000 transforms.py:1887(__init__)
3338/2189    0.005    0.000    0.028    0.000 {built-in method builtins.hash}
      391    0.006    0.000    0.028    0.000 <frozen importlib._bootstrap>:733(_init_module_attrs)
      507    0.002    0.000    0.028    0.000 font_manager.py:711(__eq__)
      672    0.002    0.000    0.028    0.000 font_manager.py:961(copy)
      725    0.014    0.000    0.027    0.000 functools.py:35(update_wrapper)
        1    0.000    0.000    0.027    0.027 artist.py:1(<module>)
     5461    0.013    0.000    0.027    0.000 {built-in method builtins.sorted}
      407    0.002    0.000    0.026    0.000 <frozen importlib._bootstrap>:416(__enter__)
       52    0.000    0.000    0.026    0.001 inspect.py:1258(getsourcelines)
       90    0.002    0.000    0.026    0.000 font_manager.py:1293(findfont)
    22878    0.026    0.000    0.026    0.000 _parser.py:240(__next)
      456    0.025    0.000    0.025    0.000 {built-in method builtins.dir}
    96/91    0.000    0.000    0.025    0.000 typing.py:515(__getitem__)
        1    0.000    0.000    0.025    0.025 table.py:1(<module>)
    22485    0.025    0.000    0.025    0.000 copy.py:172(_deepcopy_atomic)
8628/7670    0.014    0.000    0.025    0.000 artist.py:315(stale)
       64    0.000    0.000    0.025    0.000 core.py:1610(__add__)
       91    0.001    0.000    0.025    0.000 typing.py:694(Union)
        1    0.000    0.000    0.025    0.025 LebwohlLasher.py:33(initdat)
        4    0.000    0.000    0.025    0.006 _base.py:3318(grid)
  922/848    0.003    0.000    0.025    0.000 contextlib.py:141(__exit__)
        8    0.000    0.000    0.025    0.003 axis.py:1696(grid)
