full_vector_test#.py: Size: 50, Steps: 50, T*: 0.500: Order: 0.267, Time: 4.033049 s
         2764173 function calls (2733146 primitive calls) in 12.278 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      965    0.031    0.000    0.060    0.000 inspect.py:3029(__init__)
       50    0.014    0.000    0.058    0.001 full_vector_test#.py:211(MC_step)
    34299    0.057    0.000    0.058    0.000 {method 'get' of 'dict' objects}
        2    0.000    0.000    0.057    0.029 axis.py:2665(_update_label_position)
        1    0.000    0.000    0.056    0.056 contour.py:1(<module>)
16753/16750    0.044    0.000    0.056    0.000 {method 'join' of 'str' objects}
        1    0.000    0.000    0.055    0.055 Image.py:1(<module>)
        3    0.000    0.000    0.054    0.018 __init__.py:707(__getattr__)
        1    0.000    0.000    0.051    0.051 lines.py:1(<module>)
      951    0.012    0.000    0.051    0.000 copy.py:247(_reconstruct)
       16    0.010    0.001    0.050    0.003 backend_qt.py:738(_icon)
        1    0.000    0.000    0.049    0.049 textpath.py:1(<module>)
    33506    0.049    0.000    0.049    0.000 {built-in method builtins.callable}
        1    0.000    0.000    0.049    0.049 quiver.py:1(<module>)
     1611    0.017    0.000    0.049    0.000 copy.py:61(copy)
    10236    0.048    0.000    0.048    0.000 {method 'search' of 're.Pattern' objects}
        2    0.047    0.023    0.047    0.023 {method 'addToolBar' of 'PySide6.QtWidgets.QMainWindow' objects}
        1    0.000    0.000    0.046    0.046 common.py:1(<module>)
       13    0.000    0.000    0.045    0.003 rcsetup.py:426(validate_font_properties)
       10    0.000    0.000    0.045    0.004 _fontconfig_pattern.py:77(parse_fontconfig_pattern)
        1    0.000    0.000    0.044    0.044 common.py:11(pyparsing_common)
       94    0.004    0.000    0.044    0.000 text.py:157(_reset_visual_defaults)
        1    0.000    0.000    0.044    0.044 artist.py:1(<module>)
        1    0.000    0.000    0.044    0.044 font_manager.py:1(<module>)
1739/1643    0.006    0.000    0.043    0.000 {built-in method builtins.next}
      187    0.006    0.000    0.043    0.000 colors.py:325(_to_rgba_no_colorcycle)
        1    0.006    0.006    0.042    0.042 helpers.py:1(<module>)
     2703    0.024    0.000    0.042    0.000 cbook.py:468(_strip_comment)
        8    0.000    0.000    0.042    0.005 axis.py:534(__get__)
      113    0.003    0.000    0.042    0.000 rcsetup.py:99(f)
      456    0.041    0.000    0.041    0.000 {built-in method builtins.dir}
        1    0.000    0.000    0.041    0.041 axis3d.py:1(<module>)
        1    0.001    0.001    0.041    0.041 ExifTags.py:1(<module>)
        1    0.000    0.000    0.040    0.040 _secondary_axes.py:1(<module>)
        1    0.000    0.000    0.040    0.040 figureoptions.py:1(<module>)
        3    0.038    0.013    0.038    0.013 {built-in method matplotlib._c_internal_utils.display_is_valid}
      100    0.023    0.000    0.038    0.000 full_vector_test#.py:161(one_energy_all)
    10532    0.021    0.000    0.038    0.000 {built-in method builtins.setattr}
       32    0.001    0.000    0.038    0.001 tokenize.py:453(open)
        2    0.000    0.000    0.037    0.019 axis.py:2438(_update_label_position)
        2    0.001    0.001    0.036    0.018 cbook.py:58(_get_running_interactive_framework)
        1    0.000    0.000    0.036    0.036 table.py:1(<module>)
       32    0.000    0.000    0.036    0.001 tokenize.py:360(detect_encoding)
       24    0.000    0.000    0.035    0.001 ticker.py:2228(__call__)
       63    0.007    0.000    0.035    0.001 {built-in method builtins.eval}
       46    0.000    0.000    0.035    0.001 core.py:3532(mayReturnEmpty)
    48/27    0.000    0.000    0.035    0.001 functools.py:982(__get__)
    42/21    0.000    0.000    0.035    0.002 core.py:3500(re)
      261    0.002    0.000    0.035    0.000 rcsetup.py:304(validate_color_for_prop_cycle)
      412    0.014    0.000    0.035    0.000 cbook.py:1752(normalize_kwargs)
      108    0.035    0.000    0.035    0.000 {built-in method builtins.compile}
     5286    0.020    0.000    0.035    0.000 cbook.py:1347(_to_unmasked_float_array)
        1    0.015    0.015    0.035    0.035 _formlayout.py:1(<module>)
      238    0.004    0.000    0.034    0.000 typing.py:1269(__init__)
       35    0.000    0.000    0.034    0.001 tokenize.py:384(read_or_stop)
       35    0.034    0.001    0.034    0.001 {method 'readline' of '_io.BufferedReader' objects}
     3151    0.019    0.000    0.034    0.000 _parser.py:312(_class_escape)
       64    0.004    0.000    0.033    0.001 deprecation.py:414(make_keyword_only)
       16    0.000    0.000    0.033    0.002 axis.py:946(set_tick_params)
        1    0.001    0.001    0.033    0.033 cm.py:32(_gen_cmap_registry)
       24    0.000    0.000    0.032    0.001 ticker.py:2232(tick_values)
       64    0.001    0.000    0.032    0.000 core.py:1610(__add__)
       16    0.001    0.000    0.031    0.002 backend_bases.py:1266(__init__)
