LebwohlLasher.py: Size: 50, Steps: 50, T*: 0.500: Order: 0.404, Time: 2.910881 s
         1506055 function calls (1489000 primitive calls) in 5.086 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      208    0.003    0.000    0.005    0.000 _compiler.py:243(_optimize_charset)
     6195    0.005    0.000    0.005    0.000 {method 'group' of 're.Match' objects}
      602    0.001    0.000    0.005    0.000 <frozen importlib._bootstrap_external>:132(_path_split)
      229    0.001    0.000    0.005    0.000 typing.py:1174(__init__)
        1    0.002    0.002    0.005    0.005 getlimits.py:168(_register_known_types)
        1    0.000    0.000    0.005    0.005 inset.py:1(<module>)
        1    0.000    0.000    0.005    0.005 _afm.py:1(<module>)
        1    0.000    0.000    0.005    0.005 <frozen importlib._bootstrap>:1171(exec_module)
        1    0.000    0.000    0.005    0.005 <frozen ntpath>:1(<module>)
        1    0.000    0.000    0.005    0.005 format.py:1(<module>)
        1    0.000    0.000    0.005    0.005 random.py:1(<module>)
      631    0.001    0.000    0.004    0.000 _compiler.py:403(_simple)
       22    0.000    0.000    0.004    0.000 core.py:5663(parseImpl)
        1    0.000    0.000    0.004    0.004 datetime.py:1(<module>)
        1    0.000    0.000    0.004    0.004 cbook.py:1(<module>)
        2    0.000    0.000    0.004    0.002 unicode.py:55(_chars_for_ranges)
     7467    0.004    0.000    0.004    0.000 inspect.py:2808(kind)
  278/178    0.000    0.000    0.004    0.000 core.py:2174(name)
      314    0.000    0.000    0.004    0.000 typing.py:730(<genexpr>)
      363    0.001    0.000    0.004    0.000 <frozen importlib._bootstrap>:420(__exit__)
        1    0.000    0.000    0.004    0.004 decoder.py:1(<module>)
        1    0.000    0.000    0.004    0.004 extras.py:1(<module>)
      642    0.002    0.000    0.004    0.000 <frozen importlib._bootstrap>:426(_get_module_lock)
      541    0.001    0.000    0.004    0.000 __init__.py:164(match)
        1    0.000    0.000    0.004    0.004 font_manager.py:1625(_load_fontmanager)
  208/115    0.000    0.000    0.004    0.000 core.py:2127(default_name)
        1    0.000    0.000    0.004    0.004 decimal.py:1(<module>)
        8    0.001    0.000    0.004    0.001 enum.py:1707(convert_class)
        1    0.000    0.000    0.004    0.004 unicode.py:80(alphanums)
        1    0.000    0.000    0.004    0.004 unicode.py:70(alphas)
        1    0.000    0.000    0.004    0.004 LebwohlLasher.py:94(savedat)
        3    0.000    0.000    0.004    0.001 _common.py:1(<module>)
     22/3    0.001    0.000    0.004    0.001 core.py:4536(streamline)
     5540    0.004    0.000    0.004    0.000 {method 'find' of 'str' objects}
      738    0.002    0.000    0.004    0.000 {built-in method builtins.max}
        1    0.000    0.000    0.004    0.004 _mathtext.py:1808(Parser)
     1368    0.002    0.000    0.004    0.000 enum.py:1543(_get_value)
     5701    0.004    0.000    0.004    0.000 {method 'strip' of 'str' objects}
      445    0.002    0.000    0.004    0.000 copy.py:247(_reconstruct)
       76    0.002    0.000    0.004    0.000 typing.py:1640(__hash__)
       39    0.001    0.000    0.004    0.000 colors.py:419(to_rgba_array)
        1    0.000    0.000    0.004    0.004 font_manager.py:1030(json_load)
     78/4    0.000    0.000    0.004    0.001 core.py:1083(_parseCache)
       44    0.000    0.000    0.004    0.000 _base.py:67(__set_name__)
        1    0.000    0.000    0.004    0.004 _globals.py:1(<module>)
        1    0.000    0.000    0.004    0.004 __init__.py:274(load)
        1    0.000    0.000    0.004    0.004 core.py:397(ParserElement)
        2    0.000    0.000    0.004    0.002 core.py:6784(srange)
        1    0.000    0.000    0.004    0.004 _polynomial_impl.py:1(<module>)
      392    0.001    0.000    0.004    0.000 inspect.py:2812(replace)
     5711    0.003    0.000    0.003    0.000 {built-in method builtins.ord}
     4973    0.003    0.000    0.003    0.000 artist.py:1557(<genexpr>)
     30/4    0.000    0.000    0.003    0.001 core.py:4370(streamline)
        1    0.000    0.000    0.003    0.003 _format_impl.py:1(<module>)
      344    0.002    0.000    0.003    0.000 <frozen importlib._bootstrap_external>:806(spec_from_file_location)
        1    0.000    0.000    0.003    0.003 main.py:1(<module>)
        1    0.000    0.000    0.003    0.003 helpers.py:697(make_html_tags)
        1    0.000    0.000    0.003    0.003 helpers.py:638(_makeTags)
     1805    0.002    0.000    0.003    0.000 inspect.py:378(isfunction)
     1707    0.002    0.000    0.003    0.000 _parser.py:293(tell)
     3201    0.003    0.000    0.003    0.000 _parser.py:256(match)
        1    0.000    0.000    0.003    0.003 __init__.py:299(loads)
       44    0.000    0.000    0.003    0.000 _base.py:52(__init__)
        1    0.000    0.000    0.003    0.003 decoder.py:333(decode)
        1    0.000    0.000    0.003    0.003 ipaddress.py:1(<module>)
      195    0.002    0.000    0.003    0.000 _shape_base_impl.py:628(column_stack)
        1    0.000    0.000    0.003    0.003 decoder.py:344(raw_decode)
        1    0.000    0.000    0.003    0.003 tz.py:1(<module>)
        1    0.000    0.000    0.003    0.003 _function_base_impl.py:1(<module>)
1436/1256    0.002    0.000    0.003    0.000 {method 'update' of 'dict' objects}
       25    0.003    0.000    0.003    0.000 {built-in method unicodedata.name}
        1    0.000    0.000    0.003    0.003 _mathtext_data.py:1(<module>)
       20    0.000    0.000    0.003    0.000 core.py:5788(parseImpl)
       15    0.000    0.000    0.003    0.000 core.py:686(set_parse_action)
       24    0.001    0.000    0.003    0.000 deprecation.py:126(deprecate)
       34    0.003    0.000    0.003    0.000 {built-in method _io.open}
     1441    0.002    0.000    0.003    0.000 <frozen importlib._bootstrap>:1222(__enter__)
      701    0.001    0.000    0.003    0.000 <frozen importlib._bootstrap_external>:1473(_path_importer_cache)
    154/1    0.001    0.000    0.003    0.003 _mathtext_data.py:1722(_normalize_stix_fontcodes)
      127    0.000    0.000    0.003    0.000 core.py:3487(copy)
      450    0.001    0.000    0.003    0.000 __init__.py:179(sub)
