LebwohlLasher2.py: Size: 50, Steps: 50, T*: 0.500: Order: 0.357, Time: 9.907009 s
         1534821 function calls (1517766 primitive calls) in 10.882 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
     5701    0.009    0.000    0.009    0.000 {method 'strip' of 'str' objects}
     30/4    0.001    0.000    0.009    0.002 core.py:4370(streamline)
        1    0.000    0.000    0.008    0.008 numeric.py:1(<module>)
      602    0.003    0.000    0.008    0.000 <frozen importlib._bootstrap_external>:132(_path_split)
      344    0.002    0.000    0.008    0.000 <frozen importlib._bootstrap_external>:1592(_get_spec)
       22    0.000    0.000    0.008    0.000 core.py:5663(parseImpl)
  278/178    0.001    0.000    0.008    0.000 core.py:2174(name)
      642    0.004    0.000    0.008    0.000 <frozen importlib._bootstrap>:124(setdefault)
        1    0.000    0.000    0.008    0.008 case.py:1(<module>)
      229    0.001    0.000    0.008    0.000 typing.py:1174(__init__)
       66    0.002    0.000    0.008    0.000 inspect.py:2124(_signature_bound_method)
      451    0.001    0.000    0.008    0.000 <frozen importlib._bootstrap_external>:159(_path_isfile)
  208/115    0.001    0.000    0.008    0.000 core.py:2127(default_name)
        1    0.001    0.001    0.008    0.008 _text_helpers.py:1(<module>)
        1    0.000    0.000    0.008    0.008 ticker.py:1(<module>)
     1805    0.005    0.000    0.008    0.000 inspect.py:378(isfunction)
        1    0.000    0.000    0.008    0.008 backend_tools.py:1(<module>)
       10    0.000    0.000    0.008    0.001 extras.py:268(__init__)
       10    0.000    0.000    0.008    0.001 extras.py:273(getdoc)
     4973    0.008    0.000    0.008    0.000 artist.py:1557(<genexpr>)
      314    0.001    0.000    0.007    0.000 typing.py:730(<genexpr>)
      363    0.001    0.000    0.007    0.000 <frozen importlib._bootstrap>:420(__exit__)
       10    0.000    0.000    0.007    0.001 _docstring.py:66(__call__)
        3    0.000    0.000    0.007    0.002 _common.py:1(<module>)
        1    0.000    0.000    0.007    0.007 pickle.py:1(<module>)
     3201    0.006    0.000    0.007    0.000 _parser.py:256(match)
        2    0.000    0.000    0.007    0.004 unicode.py:55(_chars_for_ranges)
        1    0.000    0.000    0.007    0.007 tempfile.py:1(<module>)
     1707    0.005    0.000    0.007    0.000 _parser.py:293(tell)
     23/6    0.000    0.000    0.007    0.001 core.py:5202(streamline)
        1    0.000    0.000    0.007    0.007 format.py:1(<module>)
       12    0.001    0.000    0.007    0.001 __init__.py:238(define_aliases)
      642    0.004    0.000    0.007    0.000 <frozen importlib._bootstrap>:426(_get_module_lock)
      485    0.002    0.000    0.007    0.000 <frozen importlib._bootstrap_external>:150(_path_is_mode_type)
     5711    0.007    0.000    0.007    0.000 {built-in method builtins.ord}
     78/4    0.001    0.000    0.007    0.002 core.py:1083(_parseCache)
        2    0.000    0.000    0.007    0.003 core.py:6784(srange)
        1    0.003    0.003    0.007    0.007 helpers.py:176(one_of)
