run_Cython_1.py: Size: 50, Steps: 10, T*: 0.500: Order: 0.253, Time: 0.129703 s
         1710736 function calls (1679355 primitive calls) in 3.097 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      426    0.002    0.000    0.024    0.000 rcsetup.py:332(validate_color)
      643    0.001    0.000    0.024    0.000 colors.py:224(is_color_like)
      238    0.003    0.000    0.023    0.000 typing.py:1269(__init__)
      965    0.011    0.000    0.023    0.000 inspect.py:3029(__init__)
16754/16751    0.017    0.000    0.023    0.000 {method 'join' of 'str' objects}
      894    0.002    0.000    0.023    0.000 colors.py:278(to_rgba)
       56    0.000    0.000    0.023    0.000 backend_bases.py:1187(_process)
        1    0.000    0.000    0.023    0.023 font_manager.py:1(<module>)
    34302    0.022    0.000    0.022    0.000 {method 'get' of 'dict' objects}
        1    0.000    0.000    0.022    0.022 colorizer.py:1(<module>)
        1    0.000    0.000    0.022    0.022 common.py:1(<module>)
        1    0.001    0.001    0.021    0.021 common.py:11(pyparsing_common)
        3    0.000    0.000    0.021    0.007 __init__.py:707(__getattr__)
        1    0.000    0.000    0.021    0.021 category.py:1(<module>)
        1    0.001    0.001    0.021    0.021 ExifTags.py:1(<module>)
        8    0.000    0.000    0.021    0.003 axis.py:534(__get__)
        1    0.000    0.000    0.020    0.020 _char_codes.py:1(<module>)
       50    0.000    0.000    0.020    0.000 typing.py:521(__getitem__)
      690    0.004    0.000    0.019    0.000 <frozen importlib._bootstrap>:304(acquire)
       46    0.000    0.000    0.019    0.000 backend_bases.py:2954(mouse_move)
       90    0.000    0.000    0.019    0.000 patches.py:307(get_transform)
    33506    0.019    0.000    0.019    0.000 {built-in method builtins.callable}
        1    0.000    0.000    0.019    0.019 _parser.py:1(<module>)
       38    0.006    0.000    0.018    0.000 backend_agg.py:248(_prepare_font)
       50    0.002    0.000    0.018    0.000 typing.py:753(Literal)
    10532    0.010    0.000    0.018    0.000 {built-in method builtins.setattr}
       46    0.000    0.000    0.018    0.000 backend_bases.py:2932(_mouse_event_to_message)
        1    0.000    0.000    0.018    0.018 PngImagePlugin.py:1(<module>)
     1611    0.006    0.000    0.018    0.000 copy.py:61(copy)
    10236    0.018    0.000    0.018    0.000 {method 'search' of 're.Pattern' objects}
       19    0.000    0.000    0.018    0.001 _base.py:4099(format_coord)
       19    0.000    0.000    0.017    0.001 rcsetup.py:814(validate_cycler)
        1    0.000    0.000    0.017    0.017 _machar.py:1(<module>)
      187    0.001    0.000    0.017    0.000 colors.py:325(_to_rgba_no_colorcycle)
       78    0.002    0.000    0.017    0.000 patches.py:800(get_patch_transform)
     3398    0.009    0.000    0.017    0.000 <frozen importlib._bootstrap_external>:126(_path_join)
       13    0.000    0.000    0.017    0.001 rcsetup.py:426(validate_font_properties)
       10    0.000    0.000    0.017    0.002 _fontconfig_pattern.py:77(parse_fontconfig_pattern)
     5286    0.010    0.000    0.016    0.000 cbook.py:1347(_to_unmasked_float_array)
     3151    0.009    0.000    0.016    0.000 _parser.py:312(_class_escape)
      951    0.004    0.000    0.016    0.000 copy.py:247(_reconstruct)
        4    0.000    0.000    0.016    0.004 axis.py:2223(_get_tick_boxes_siblings)
        3    0.000    0.000    0.016    0.005 patches.py:2293(__init_subclass__)
        6    0.000    0.000    0.016    0.003 patches.py:2335(pprint_styles)
        1    0.000    0.000    0.016    0.016 artist.py:1(<module>)
       16    0.000    0.000    0.015    0.001 axis.py:946(set_tick_params)
        1    0.002    0.002    0.015    0.015 helpers.py:1(<module>)
        1    0.000    0.000    0.015    0.015 contour.py:1(<module>)
       38    0.002    0.000    0.015    0.000 ticker.py:666(format_data_short)
        1    0.000    0.000    0.015    0.015 textpath.py:1(<module>)
       94    0.001    0.000    0.015    0.000 text.py:157(_reset_visual_defaults)
        1    0.000    0.000    0.015    0.015 table.py:1(<module>)
    22878    0.015    0.000    0.015    0.000 _parser.py:240(__next)
        4    0.000    0.000    0.015    0.004 axis.py:1115(set_clip_path)
      195    0.001    0.000    0.015    0.000 transforms.py:1473(transform)
      723    0.008    0.000    0.015    0.000 functools.py:35(update_wrapper)
       46    0.000    0.000    0.014    0.000 core.py:3532(mayReturnEmpty)
    48/27    0.000    0.000    0.014    0.001 functools.py:982(__get__)
       52    0.001    0.000    0.014    0.000 path.py:522(contains_point)
       64    0.002    0.000    0.014    0.000 deprecation.py:414(make_keyword_only)
    42/21    0.000    0.000    0.014    0.001 core.py:3500(re)
      384    0.003    0.000    0.014    0.000 <frozen importlib._bootstrap>:733(_init_module_attrs)
     3900    0.008    0.000    0.014    0.000 enum.py:79(_is_private)
     3460    0.008    0.000    0.014    0.000 enum.py:38(_is_descriptor)
      426    0.002    0.000    0.014    0.000 <frozen importlib._bootstrap_external>:1187(get_data)
1735/1639    0.002    0.000    0.014    0.000 {built-in method builtins.next}
    96/91    0.000    0.000    0.014    0.000 typing.py:515(__getitem__)
      265    0.001    0.000    0.014    0.000 overrides.py:144(decorator)
      108    0.014    0.000    0.014    0.000 {built-in method builtins.compile}
       91    0.001    0.000    0.014    0.000 typing.py:694(Union)
      400    0.001    0.000    0.014    0.000 <frozen importlib._bootstrap>:416(__enter__)
    85/30    0.000    0.000    0.014    0.000 typing.py:1294(__getitem__)
      290    0.001    0.000    0.013    0.000 <frozen importlib._bootstrap>:463(_lock_unlock_module)
        1    0.000    0.000    0.013    0.013 _array_like.py:1(<module>)
        4    0.000    0.000    0.013    0.003 _base.py:3318(grid)
        8    0.000    0.000    0.013    0.002 axis.py:1696(grid)
        2    0.000    0.000    0.013    0.006 axis.py:2665(_update_label_position)
        1    0.000    0.000    0.013    0.013 _secondary_axes.py:1(<module>)
        2    0.000    0.000    0.013    0.006 axis.py:2438(_update_label_position)
      456    0.013    0.000    0.013    0.000 {built-in method builtins.dir}
      593    0.006    0.000    0.013    0.000 _compiler.py:243(_optimize_charset)
      634    0.003    0.000    0.013    0.000 <frozen importlib._bootstrap_external>:486(cache_from_source)
        2    0.000    0.000    0.013    0.006 __init__.py:12(__getattr__)
        1    0.000    0.000    0.012    0.012 pathlib.py:1(<module>)
     5555    0.009    0.000    0.012    0.000 enum.py:849(__setattr__)
       64    0.000    0.000    0.012    0.000 core.py:1610(__add__)
     2703    0.007    0.000    0.012    0.000 cbook.py:468(_strip_comment)
        1    0.000    0.000    0.012    0.012 fromnumeric.py:1(<module>)
       16    0.001    0.000    0.012    0.001 backend_qt.py:738(_icon)
       65    0.001    0.000    0.012    0.000 core.py:4495(__init__)
        2    0.000    0.000    0.012    0.006 version.py:1(<module>)
 2571/455    0.007    0.000    0.012    0.000 _parser.py:178(getwidth)
        1    0.000    0.000    0.011    0.011 numerictypes.py:1(<module>)
      113    0.001    0.000    0.011    0.000 rcsetup.py:99(f)
      242    0.005    0.000    0.011    0.000 typing.py:262(_collect_parameters)
        1    0.000    0.000    0.011    0.011 _internal.py:1(<module>)
   104/52    0.001    0.000    0.011    0.000 transforms.py:2362(frozen)
        1    0.000    0.000    0.011    0.011 _dtype_like.py:1(<module>)
     2181    0.003    0.000    0.011    0.000 <frozen abc>:117(__instancecheck__)
